"VAR","YEAR.2016.ez","YEAR.2017.ez","YEAR.2018.ez","YEAR.2019.ez","YEAR.2020.ez","YEAR.2021.ez","YEAR.2016.pc","YEAR.2017.pc","YEAR.2018.pc","YEAR.2019.pc","YEAR.2020.pc","YEAR.2021.pc"
"intincntrlcd","","","","","","","intincntrlcd","intincntrlcd","intincntrlcd","intincntrlcd","intincntrlcd","intincntrlcd"
"invntriesalesend","","","","","","","invntriesalesend","invntriesalesend","invntriesalesend","invntriesalesend","invntriesalesend","invntriesalesend"
"invstmntinc","","","","","","","invstmntinc","invstmntinc","invstmntinc","invstmntinc","invstmntinc","invstmntinc"
"invstmntsend","","","","","","","invstmntsend","invstmntsend","invstmntsend","invstmntsend","invstmntsend","invstmntsend"
"invstmntsothrend","","","","","","","invstmntsothrend","invstmntsothrend","invstmntsothrend","invstmntsothrend","invstmntsothrend","invstmntsothrend"
"invstmntsprgmend","","","","","","","invstmntsprgmend","invstmntsprgmend","invstmntsprgmend","invstmntsprgmend","invstmntsprgmend","invstmntsprgmend"
"invstproceedscd","","","","","","","invstproceedscd","invstproceedscd","invstproceedscd","invstproceedscd","invstproceedscd","invstproceedscd"
"lbbyingactvtscd","","","","","","","lbbyingactvtscd","lbbyingactvtscd","lbbyingactvtscd","lbbyingactvtscd","lbbyingactvtscd","lbbyingactvtscd"
"legalfees","","","","","","","legalfees","legalfees","legalfees","legalfees","legalfees","legalfees"
"lesscstofgoods","","","","","","","lesscstofgoods","lesscstofgoods","lesscstofgoods","lesscstofgoods","lesscstofgoods","lesscstofgoods"
"lessdirfndrsng","","","","","","","lessdirfndrsng","lessdirfndrsng","lessdirfndrsng","lessdirfndrsng","lessdirfndrsng","lessdirfndrsng"
"lessdirgaming","","","","","","","lessdirgaming","lessdirgaming","lessdirgaming","lessdirgaming","lessdirgaming","lessdirgaming"
"lndbldgsequipend","","","","","","","lndbldgsequipend","lndbldgsequipend","lndbldgsequipend","lndbldgsequipend","lndbldgsequipend","lndbldgsequipend"
"loanstoofficers","loanstoofficers","loanstoofficers","loanstoofficers","loanstoofficers","loanstoofficers","loanstoofficers","","","","","",""
"loanstoofficerscd","loanstoofficerscd","loanstoofficerscd","loanstoofficerscd","loanstoofficerscd","loanstoofficerscd","loanstoofficerscd","","","","","",""
"loantofficercd","","","","","","","loantofficercd","loantofficercd","loantofficercd","loantofficercd","loantofficercd","loantofficercd"
"maintescrwaccntcd","","","","","","","maintescrwaccntcd","maintescrwaccntcd","maintescrwaccntcd","maintescrwaccntcd","maintescrwaccntcd","maintescrwaccntcd"
"maintwrkofartcd","","","","","","","maintwrkofartcd","maintwrkofartcd","maintwrkofartcd","maintwrkofartcd","maintwrkofartcd","maintwrkofartcd"
"miscrev11acd","","","","","","","miscrev11acd","miscrev11acd","miscrev11acd","miscrev11acd","miscrev11acd","miscrev11acd"
"miscrev11bcd","","","","","","","miscrev11bcd","miscrev11bcd","miscrev11bcd","miscrev11bcd","miscrev11bcd","miscrev11bcd"
