"","ein","tax_pd","daysoperating_coh"
"441",131919799,201806,109.10564503418
"442",131943516,201806,9.54234330754499
"443",132564241,201812,151.184074136785
"444",132579051,201807,103.576330536814
"445",132617705,201812,143.073689903421
"446",132735378,201812,2710.83856951399
"447",132736022,201803,171.303758756892
"448",132778910,201812,106.897578368407
"449",132802083,201906,1.43552241774735
"450",132806160,201806,176.374888725494
"451",132834016,201812,82.4397743954906
"452",132850133,201806,274.759736066348
"453",132851988,201812,1557.69108679308
"454",132868189,201809,NA
"455",132875743,201812,69.49614691938
"456",132902798,201806,234.557124425589
"457",132922191,201812,101.593341933207
"458",132926433,201806,259.175777524466
"459",132934000,201812,215.045596378566
"460",132936066,201809,NA
"461",132938457,201806,1732.27527714706
"462",132944013,201804,839.117388141062
"463",132950346,201812,450.656863998409
"464",132972415,201806,126.748637245754
"465",132976987,201812,341.32110443186
"466",133008492,201906,NA
"467",133010578,201812,2167.93119264926
"468",133020589,201806,581.322294025685
"469",133022372,201812,140.5437094637
"470",133023179,201812,715.319345345457
"471",133023183,201806,81.5806234919323
"472",133026182,201812,794.142485512457
"473",133028376,201812,80.7029812679168
"474",133032463,201812,1545.90756811551
"475",133076810,201812,132.878616340037
"476",133097905,201806,113.550635700645
"477",133098397,201812,224.197144444954
"478",133108035,201812,843.281341321744
"479",133110811,201812,161.954361667917
"480",133154100,201812,1273.38162158394
"481",133160099,201806,54.218354681387
"482",133176586,201806,215.698792299414
"483",133176952,201806,321.1532526786
"484",133183344,201806,84.2831318496868
"485",133187792,201812,108.106316473798
"486",133202014,201812,394.663298052582
"487",133203701,201806,105.314193850699
"488",133206603,201812,1490.56454481755
"489",133212867,201812,138.201936511194
"490",133213525,201803,10.6028706632686
"491",133234441,201806,128.181275688129
"492",133248777,201812,150.210156292888
"493",133257307,201806,126.899853124978
"494",133281487,201806,42.179303749309
"495",133313856,201812,0
"496",133402057,201706,625.308198109843
"497",133402057,201506,833.629649890591
"498",133402057,201306,196.731617597611
"499",133402057,201206,39.1768867055053
"500",133402057,201606,628.29053645425
"501",133420753,201806,96.3990904820472
"502",133421324,201812,293.150698714366
"503",133439109,201807,1126.96179981635
"504",133439109,201907,367.967602110919
"505",133463392,201806,NA
"506",133505123,201812,264.043134578122
"507",133514340,201812,NA
"508",133516262,201806,401.67764353647
"509",133518596,201812,639.613069647463
"510",133544227,201906,1207.82983415387
