"","ein","tax_pd","lb_to_assets"
"242",43535025,201812,0
"243",43538884,201812,0.91791178303406
"244",43555681,201812,0.291519301551463
"245",43562853,201806,0.868126099212799
"246",43571892,201812,0.00309544706615079
"247",43586322,201812,NA
"248",43611860,201812,0.0188456516061635
"249",43613194,201812,0
"250",43617019,201806,0
"251",43617951,201806,0.8265074690941
"252",43627371,201812,0.604327280425272
"253",43627393,201806,0.0418920339715658
"254",43635313,201812,0.0728176387920205
"255",43669252,201806,0.983555196300124
"256",43728351,201812,NA
"257",43754904,201812,0.916208734863497
"258",46125732,201809,0.740362847644018
"259",46132439,201812,0.599470399632568
"260",46138418,201812,0
"261",50258819,201812,0.188683470457923
"262",50258871,201812,0.554942931540361
"263",50258939,201806,0.995646750582715
"264",50259094,201812,0.607423306652958
"265",50300152,201812,0.220027842727699
"266",50309695,201809,0.416013840035238
"267",50311985,201806,0.40841600663751
"268",50312991,201809,0.415253790837218
"269",50340202,201812,0.0556777013907496
"270",50340915,201812,0.607571246412763
"271",50343709,201909,0.705062567880131
"272",50370157,201812,0.457161850700402
"273",50370946,201808,0.671731226014807
"274",50376075,201806,0.498465352577542
"275",50380608,201812,0.440120648448233
"276",50381201,201812,0.8242080035446
"277",50383354,201812,0.307696589940867
"278",50384495,201812,0.313700996768576
"279",50396559,201812,0
"280",50432730,201806,0
"281",50445955,201906,0.713268353402894
"282",50448151,201806,0.910067103678173
"283",50449399,201806,0
"284",50449399,201706,0
"285",50450845,201906,0.714074908114616
"286",50450845,201806,0.774254303717272
"287",50463993,201806,0.804245946638402
"288",50475365,201812,0.598082635121555
"289",50486136,201809,0.919978730766958
"290",50489479,201903,0.607032739203996
"291",50489479,201803,0.6252059836102
"292",50495681,201812,0.602338237328783
"293",50497260,201812,NA
"294",50513907,201812,0
"295",50520256,201812,0
"296",56015153,201806,0.418421617648129
"297",56018801,201806,0.462281327644251
"298",60646969,201806,0.456708408903303
"299",60646974,201906,0.417835028338152
"300",60646994,201806,0.55572012456024
"301",60653158,201806,0.00269453493456475
"302",60676851,201809,0.780128257360553
"303",60795640,201812,0.263701864240483
"304",60801861,201806,0.57685320131371
"305",60806128,201903,0.481207767708624
"306",60813725,201812,0.323904137719369
"307",60864050,201812,0.689655392360073
"308",60876558,201806,0.0291794318070272
"309",60876677,201808,0.899803554740261
"310",60890788,201812,0.958925308084326
"311",60903918,201812,0.796911689671811
"312",60906671,201812,0.894603382816181
"313",60939659,201806,0.75011986098156
"314",60954802,201806,0.834126235532758
"315",60979507,201809,0.122772238274881
"316",60993174,201812,0.0180717168891343
"317",61006312,201806,0.843116386979088
"318",61008590,201806,0.00584370290832308
"319",61011060,201812,0.521267832176595
"320",61021268,201812,0.462140569824755
"321",61022915,201812,0.601684629224301
"322",61045493,201906,0.869767003467035
"323",61063650,201812,0.752241085579516
"324",61064281,201812,0.151990197097283
"325",61066148,201806,0.0328447540820569
"326",61174074,201906,0
"327",61193489,201809,0.701301858528154
"328",61214680,201806,0.0640767441204101
"329",61230844,201809,0.938776588160171
"330",61235451,201806,0.885711835117905
"331",61258114,201812,0.687046538835738
"332",61276156,201906,0.027597720469974
"333",61276156,201806,0.00733199584520235
"334",61322214,201806,0.957891318683213
"335",61322214,201906,0.888317250699662
"336",61338915,201812,0.618213795981637
"337",61353568,201812,0.897673943308968
"338",61354643,201809,NA
"339",61356231,201806,0.680953978439364
"340",61414605,201806,0.87606545701753
"341",61419774,201806,0.320244050927764
"342",61421651,201806,0
"343",61421674,201812,0.422115517010668
"344",61423446,201812,0.988290297394702
"345",61423598,201806,0.0879919923245806
"346",61428945,201812,0.884833383667931
"347",61428945,201812,0.884833383667931
"348",61440531,201906,0.892205415400471
"349",61466506,201812,0
"350",61472525,201906,0.785201140832834
"351",61473638,201906,0.71911061164834
"352",61613212,201812,0
"353",61618332,201812,0.871885125421977
"354",61637790,201809,0.164042335669817
"355",61665031,201812,0.0447366669381201
"356",61683983,201812,0.682991624375534
"357",61714498,201809,0.130124907919413
"358",61781093,201812,0.99804793021886
"359",61804372,201812,NA
"360",66066491,201806,0.92259016214313
"361",66071847,201810,0.573794218636503
"362",100131835,201806,0.758489105801846
"363",111630919,201812,0.567219033999175
"364",112137138,201806,0.853938841142002
"365",112141197,201812,0.0201942977904839
"366",112221341,201812,0.00617543161851602
"367",112268359,201812,0.0546395830021704
"368",112325394,201906,0.86027989595607
"369",112356150,201806,0
"370",112375583,201806,0.0961853841012194
"371",112382250,201806,0
"372",112412584,201712,0
"373",112431586,201806,0.00302514888889295
"374",112435523,201905,0.0178698911297519
"375",112436149,201806,0.00501610997645109
"376",112451752,201806,0.126474979428059
"377",112453853,201806,0.0936007351203928
"378",112458675,201806,0
"379",112475743,201806,0.0691544116225382
"380",112490986,201806,0.944924137208144
"381",112498292,201806,NA
"382",112526244,201807,0
"383",112527097,201906,0
"384",112527202,201905,0.946239131322203
"385",112528786,201812,0
"386",112534700,201803,0.829389552002564
