"","ein","tax_pd","months_coh"
"227",43333866,201812,-14002.769041769
"228",43337726,201812,11.798796581031
"229",43362851,201809,114.325714285714
"230",43364974,201806,NA
"231",43370097,201806,43.4304305061663
"232",43371170,201809,373.185606830657
"233",43408855,201812,138.521331248604
"234",43458096,201906,77.0593477913115
"235",43460139,201812,51.9894198099006
"236",43469536,201812,113.173940949936
"237",43490920,201812,5.48016799857557
"238",43500087,201906,0.487009259122959
"239",43502138,201906,5.84268244575937
"240",43534715,201812,18953.3213562753
"241",43534734,201812,176.240796480667
"242",43535025,201812,513.978181818182
"243",43538884,201812,139.872411186697
"244",43555681,201812,25.9674328543681
"245",43562853,201806,45.9442447619883
"246",43571892,201812,45.8990327963122
"247",43586322,201812,NA
"248",43611860,201812,117.78674351585
"249",43613194,201812,81.2711055797552
"250",43617019,201806,NA
"251",43617951,201806,48.7295173574059
"252",43627371,201812,108.144885989674
"253",43627393,201806,208.786044431191
"254",43635313,201812,412.690499859327
"255",43669252,201806,25.2334100900147
"256",43728351,201812,NA
"257",43754904,201812,486.272443674177
"258",46125732,201809,35.1488263602344
"259",46132439,201812,203.780864378971
"260",46138418,201812,27.1949957811026
"261",50258819,201812,18.9198950397103
"262",50258871,201812,28.8835744112787
"263",50258939,201806,0.0135650069523314
"264",50259094,201812,19.5281119645473
"265",50300152,201812,15.1555857614625
"266",50309695,201809,90.6303290518988
"267",50311985,201806,52.8423051832768
"268",50312991,201809,44.2785484197959
"269",50340202,201812,277.267671020891
"270",50340915,201812,11.9728419965069
"271",50343709,201909,14.7494698357304
"272",50370157,201812,454.544719555331
"273",50370946,201808,14.7322649628374
"274",50376075,201806,23.631747834946
"275",50380608,201812,87.6734586044054
"276",50381201,201812,93.6042895442359
"277",50383354,201812,666.135827320306
"278",50384495,201812,203.456335506968
"279",50396559,201812,NA
"280",50432730,201806,790.74375
"281",50445955,201906,48.7493709212168
"282",50448151,201806,28.1260149184765
"283",50449399,201806,NA
"284",50449399,201706,NA
"285",50450845,201906,NA
"286",50450845,201806,NA
"287",50463993,201806,4.68635267989182
"288",50475365,201812,21.7015213873837
"289",50486136,201809,23.1033126031222
"290",50489479,201903,145.193390411346
"291",50489479,201803,207.621914133774
"292",50495681,201812,34.5349496817026
"293",50497260,201812,NA
"294",50513907,201812,NA
"295",50520256,201812,10.6538568334537
"296",56015153,201806,16.7722177561399
"297",56018801,201806,36.4196776639151
"298",60646969,201806,104.002384059426
"299",60646974,201906,22.0344999904094
"300",60646994,201806,19.5034766227094
"301",60653158,201806,209.462616980303
"302",60676851,201809,46.6505978977032
"303",60795640,201812,50.704762207094
"304",60801861,201806,124.786203164436
"305",60806128,201903,40.7655236952395
"306",60813725,201812,26.2995279817828
"307",60864050,201812,71.694702144031
"308",60876558,201806,42.527311044028
"309",60876677,201808,58.7523625390745
"310",60890788,201812,4.40481947802885
"311",60903918,201812,36.9364017800381
"312",60906671,201812,5.55353622334519
"313",60939659,201806,42.0408268101761
"314",60954802,201806,22.5401134212754
"315",60979507,201809,7.91775946016194
"316",60993174,201812,-638.247612631579
"317",61006312,201806,28.7741821396994
"318",61008590,201806,28.4700986550399
"319",61011060,201812,13.0510365635082
"320",61021268,201812,397.034607091095
"321",61022915,201812,26.2726861923907
"322",61045493,201906,18.0504855098323
"323",61063650,201812,19.375469908302
"324",61064281,201812,15.0967632397402
"325",61066148,201806,78.2113510414676
"326",61174074,201906,76034.9793103448
"327",61193489,201809,12.2525590452889
"328",61214680,201806,96.1563384469676
"329",61230844,201809,52.6516913978303
"330",61235451,201806,84.424151845763
"331",61258114,201812,NA
"332",61276156,201906,254.261171868573
