"","ein","tax_pd","equity_ratio"
"241",43534734,201812,-0.253371717280248
"242",43535025,201812,0.976652705456192
"243",43538884,201812,0.861704162407735
"244",43555681,201812,0.491662642624996
"245",43562853,201806,-0.0197945941601608
"246",43571892,201812,0.253769952834772
"247",43586322,201812,1
"248",43611860,201812,0.629135544528598
"249",43613194,201812,0.905345619707064
"250",43617019,201806,0.860835681731204
"251",43617951,201806,0.0922256807522081
"252",43627371,201812,0.202416145269793
"253",43627393,201806,0.62913984649712
"254",43635313,201812,0.709419825351182
"255",43669252,201806,-0.578731032506932
"256",43728351,201812,0.841959972394755
"257",43754904,201812,0.665481348207807
"258",46125732,201809,0.423385430536776
"259",46132439,201812,0.567778811043428
"260",46138418,201812,0.813437103134528
"261",50258819,201812,0.870760666377983
"262",50258871,201812,0.772393085749019
"263",50258939,201806,0.382683655521346
"264",50259094,201812,0.704099928281138
"265",50300152,201812,0.222384538301192
"266",50309695,201809,0.777782504612281
"267",50311985,201806,0.78643487212606
"268",50312991,201809,0.675754587596298
"269",50340202,201812,0.959677804164541
"270",50340915,201812,0.614135060480745
"271",50343709,201909,0.598564807723382
"272",50370157,201812,0.99212222297413
"273",50370946,201808,0.0178976210179199
"274",50376075,201806,0.552993439330252
"275",50380608,201812,0.744439919072021
"276",50381201,201812,0.594250095663908
"277",50383354,201812,0.993138873484235
"278",50384495,201812,0.719717152177665
"279",50396559,201812,1
"280",50432730,201806,0.898732642047177
"281",50445955,201906,0.729357782291692
"282",50448151,201806,0.29214817127528
"283",50449399,201806,1
"284",50449399,201706,1
"285",50450845,201906,0.894015429476947
"286",50450845,201806,0.937096956703536
"287",50463993,201806,0.539978898237406
"288",50475365,201812,0.514323436957573
"289",50486136,201809,0.394757688695113
"290",50489479,201903,0.671472549608896
"291",50489479,201803,0.613077737017904
"292",50495681,201812,0.439090531752986
"293",50497260,201812,-0.348404178659518
"294",50513907,201812,0.840013105499269
"295",50520256,201812,-0.360266470492071
"296",56015153,201806,0.222628587232618
"297",56018801,201806,0.832395330936609
"298",60646969,201806,0.608140449162389
"299",60646974,201906,0.691697683062018
"300",60646994,201806,0.694522460586435
"301",60653158,201806,0.480374266061929
"302",60676851,201809,0.606993293608593
"303",60795640,201812,0.661573806748888
"304",60801861,201806,0.173946556691814
"305",60806128,201903,0.443378669729459
"306",60813725,201812,0.267993205364737
"307",60864050,201812,0.166389045392309
"308",60876558,201806,0.30537143329493
