"","ein","tax_pd","debt_mgmnt_ratio"
"398",112689903,201812,0.00439948299860807
"399",112710506,201812,0.0414501115265149
"400",112737223,201812,0.413271243830036
"401",112783877,201812,4.04619292445669
"402",112840553,201806,0.0656962136965317
"403",112848726,201809,0.0612810130657898
"404",112848938,201806,0.0315825592540934
"405",112857055,201806,0.41114939207244
"406",112889068,201812,2.2373062230574
"407",112890302,201812,0.168608082319611
"408",112911043,201812,0.915846522567773
"409",113039699,201805,1.51634273955759
"410",113048002,201812,0.715336394904115
"411",113099604,201812,0.329950335040949
"412",113132562,201812,1.75863608154805
"413",113199716,201812,NA
"414",113204890,201812,0.03409443296805
"415",113211896,201812,NA
"416",113211896,201712,NA
"417",113250772,201812,0.108618755658413
"418",113306111,201806,0.493307227209477
"419",113312539,201812,1.44423977573171
"420",113317234,201812,2.80956878702748
"421",113317929,201806,0.381900092752087
"422",113415840,201812,-4.68978344882087
"423",113422018,201812,0.710395647131668
"424",113442366,201812,-3.36455543477311
"425",113458791,201806,NA
"426",113462888,201906,-62.2083405333794
"427",113580935,201812,0.0662191690418597
"428",113603198,201812,NA
"429",113613094,201812,0.41881728511525
"430",113633048,201812,0.0114892148351932
"431",113666873,201812,-2.9045918028437
"432",113687996,201809,-1.19730230953356
"433",113704014,201906,-3.67368023894787
"434",113754129,201812,0.693829112459339
"435",116083182,201806,2.82466341254293
"436",123799161,201906,-9.37694704049844
"437",123799161,201706,-5.15961496628236
"438",131562242,201806,0.43021954972773
"439",131624178,201806,2.42072023580915
"440",131671035,201806,-1.65289543389332
"441",131919799,201806,1.21604264945376
"442",131943516,201806,-1.06923156357414
"443",132564241,201812,0.773530262230495
"444",132579051,201807,0.756804317558742
"445",132617705,201812,0.219914726543975
"446",132735378,201812,0.630015978707128
"447",132736022,201803,2.17500192646396
"448",132778910,201812,0.0170867661640145
"449",132802083,201906,0.562430127620046
"450",132806160,201806,0.962981635194995
"451",132834016,201812,0.670108413125377
"452",132850133,201806,-3.27389568061658
"453",132851988,201812,2.23695922258207
"454",132868189,201809,NA
"455",132875743,201812,-1.859178567231
"456",132902798,201806,2.23855755407868
"457",132922191,201812,14.9674673078339
"458",132926433,201806,1.55772978095738
"459",132934000,201812,0.362726460822859
"460",132936066,201809,NA
"461",132938457,201806,0.242577001973576
"462",132944013,201804,0.0970746722633651
"463",132950346,201812,13.6545127744255
"464",132972415,201806,2.22827046346531
"465",132976987,201812,0.776225516571526
"466",133008492,201906,NA
"467",133010578,201812,0.147537383802884
"468",133020589,201806,0.0132462322262262
"469",133022372,201812,0.0770748264782889
"470",133023179,201812,0.110586263335916
"471",133023183,201806,-1.45952807453896
"472",133026182,201812,0.000695639674355909
"473",133028376,201812,2.01527563969212
"474",133032463,201812,0.229419149418745
"475",133076810,201812,5.92186810476477
"476",133097905,201806,0.806772860216093
"477",133098397,201812,-9.80676241131837
"478",133108035,201812,0.0250965450369202
"479",133110811,201812,-11.6804966405548
"480",133154100,201812,2.87763250574901
"481",133160099,201806,0.339810107043176
"482",133176586,201806,0.144889174589077
"483",133176952,201806,0.0646707897623768
"484",133183344,201806,3.06177076426645
"485",133187792,201812,3.17754953849245
"486",133202014,201812,0.0801313382280981
"487",133203701,201806,1.58253322375674
"488",133206603,201812,0.00244764887008369
"489",133212867,201812,0.682718553057138
"490",133213525,201803,0.226702293858997
"491",133234441,201806,0.182949793914144
"492",133248777,201812,0.536999127100504
"493",133257307,201806,0.768048128659495
"494",133281487,201806,0.0986831782972394
"495",133313856,201812,0
"496",133402057,201706,0.28058308821982
"497",133402057,201506,0.280586298836362
"498",133402057,201306,0.282409544632853
"499",133402057,201206,0.275641572090627
"500",133402057,201606,0.280583927167805
"501",133420753,201806,1.25058994026369
"502",133421324,201812,0.0025601032646695
"503",133439109,201807,0.064095196681434
"504",133439109,201907,0.0438734586761178
"505",133463392,201806,0
"506",133505123,201812,0.136199121857701
"507",133514340,201812,NA
"508",133516262,201806,0.554047574632921
"509",133518596,201812,0.00234878504122983
"510",133544227,201906,1.35431834976428
"511",133556135,201812,-1.6540173053152
"512",133570544,201812,0.476848699191739
"513",133582492,201812,1.07576353209012
"514",133584089,201806,0.423629052123831
"515",133591350,201812,0.0261633003994736
"516",133620671,201812,-12.6233280704626
"517",133627750,201812,4.82499268317367
"518",133635059,201806,0.131844386435757
"519",133636555,201806,3.28951624344616
"520",133652630,201806,-1.74372558010066
"521",133687891,201806,2.59762082107045
"522",133687895,201806,6.33433643307598
"523",133706959,201812,1.12635125355805
"524",133735311,201812,NA
"525",133773591,201812,-1.69956376017737
"526",133778489,201806,0.0795708505455006
"527",133784406,201812,12.5391147687598
"528",133846708,201812,0.132312099075532
"529",133860487,201812,0.202156411903739
"530",133914167,201812,4.94073150888854
"531",133927797,201812,-5.62682187192954
"532",133940622,201812,-1.07241148416896
"533",133946529,201812,0.931251478066342
"534",133970573,201812,0
"535",133996271,201806,0.848992700880324
"536",133997769,201812,1.1026867132677
"537",134011201,201812,13.4041311153208
"538",134031037,201812,0.0161520700371914
"539",134087428,201812,NA
"540",134103352,201812,0.802349731055722
"541",134138205,201812,-7.19442179089871
"542",134169825,201806,1.55224785301063
"543",134196931,201812,-3.47693411456522
"544",134221502,201809,NA
"545",134233543,201812,0.00451175478419938
"546",134236650,201906,0.681055814632891
"547",134284680,201812,-6.20946425807721
"548",135562202,201806,0.409938084862792
"549",136202692,201806,0.42481215856896
"550",136222626,201806,0.199646601087713
"551",136265613,201812,2.51216946809021
"552",136271908,201806,0.061670368805606
"553",141491879,201811,1.17802165016854
"554",141492922,201812,0.474056530404432
"555",141493667,201802,1.47671134209045
"556",141503655,201804,2.15562358293211
"557",141503655,201904,0.534151956070636
"558",141504550,201906,-47.9064443442992
"559",141548263,201806,0.13648809369207
"560",141558673,201812,27.7887160903921
"561",141589002,201812,0.00632055669144439
"562",141601549,201812,0.645717946812955
"563",141604145,201805,1.50222226484027
"564",141605957,201812,0.0276111684524133
