"","ein","tax_pd","donation_ratio"
"343",61421674,201812,0
"344",61423446,201812,0.0279950433141584
"345",61423598,201806,0.560935419644057
"346",61428945,201812,0
"347",61428945,201812,0
"348",61440531,201906,0.572893431247507
"349",61466506,201812,0
"350",61472525,201906,0
"351",61473638,201906,0
"352",61613212,201812,0.491558908045977
"353",61618332,201812,0.25588365302186
"354",61637790,201809,0
"355",61665031,201812,0.922617227277607
"356",61683983,201812,0.790395951323415
"357",61714498,201809,0.988342552689866
"358",61781093,201812,0
"359",61804372,201812,0
"360",66066491,201806,0.831535533182844
"361",66071847,201810,0.922378740271261
"362",100131835,201806,0.979303746475091
"363",111630919,201812,0.270724985802884
"364",112137138,201806,0.206712268390706
"365",112141197,201812,0.421825225007567
"366",112221341,201812,0.0113880399335897
"367",112268359,201812,0.338658909564004
"368",112325394,201906,0.388140541080436
"369",112356150,201806,0.996285773155629
"370",112375583,201806,0.993269919990314
"371",112382250,201806,0.986025523704769
"372",112412584,201712,1
"373",112431586,201806,0
"374",112435523,201905,1
"375",112436149,201806,0.646558513407087
"376",112451752,201806,0.480344232394512
"377",112453853,201806,0.842312666074262
"378",112458675,201806,NA
"379",112475743,201806,0.522986378206521
"380",112490986,201806,0.598350994338801
"381",112498292,201806,NA
"382",112526244,201807,0.667847354829773
"383",112527097,201906,0.997621171573
"384",112527202,201905,0
"385",112528786,201812,0.812876168157526
"386",112534700,201803,1.03811247087279
"387",112538550,201808,0.858890896704465
"388",112573432,201806,0.26051093160016
"389",112578155,201807,0.272992733826813
"390",112594653,201806,0.846924258671019
"391",112600290,201812,0
"392",112600290,201712,0
"393",112603787,201812,0.406392551110124
"394",112627786,201812,0.802423390305462
"395",112647339,201812,0.651054767762206
"396",112665181,201806,0.995724681613185
"397",112683663,201806,0.978592601166885
"398",112689903,201812,0
"399",112710506,201812,1
"400",112737223,201812,0.13209585732602
"401",112783877,201812,0.633453426524243
"402",112840553,201806,0.806288196934003
"403",112848726,201809,0.31881512496662
"404",112848938,201806,0
"405",112857055,201806,0.905547924303303
"406",112889068,201812,0.259865650362614
"407",112890302,201812,0.0802728595246377
"408",112911043,201812,0.493249683438207
"409",113039699,201805,0
"410",113048002,201812,0.523391512511639
"411",113099604,201812,0.930932781058129
"412",113132562,201812,0.617517563387747
"413",113199716,201812,0.700354126940888
"414",113204890,201812,0.327443708329371
"415",113211896,201812,NA
"416",113211896,201712,NA
"417",113250772,201812,0.417811338846938
"418",113306111,201806,0.984362144631716
"419",113312539,201812,0
"420",113317234,201812,0.628784016124514
"421",113317929,201806,0.999762624622073
"422",113415840,201812,0.552061193061053
"423",113422018,201812,0.724467485775777
"424",113442366,201812,NA
"425",113458791,201806,NA
"426",113462888,201906,0.942869927232319
"427",113580935,201812,0.775099602181074
"428",113603198,201812,0.727140275511034
"429",113613094,201812,0.810241451952682
"430",113633048,201812,0.848726475043089
"431",113666873,201812,1
"432",113687996,201809,0
"433",113704014,201906,0
"434",113754129,201812,0.299951962431168
"435",116083182,201806,0.767422859785136
"436",123799161,201906,0.996233403699559
"437",123799161,201706,0.983108387264836
"438",131562242,201806,0.818271795727556
"439",131624178,201806,0.384388131805636
"440",131671035,201806,0.375945277361613
"441",131919799,201806,0.474857192767349
"442",131943516,201806,0.764261909429524
"443",132564241,201812,0.836316385810705
"444",132579051,201807,0.981415050668225
"445",132617705,201812,0.918860314812025
"446",132735378,201812,0.876263356600721
"447",132736022,201803,0.702223990405428
"448",132778910,201812,0.296165968584702
"449",132802083,201906,0
"450",132806160,201806,0.987647137970689
"451",132834016,201812,0.610873966656969
"452",132850133,201806,0
"453",132851988,201812,0.600059564391192
"454",132868189,201809,0
"455",132875743,201812,0.921275949857121
"456",132902798,201806,0.72354169757701
"457",132922191,201812,0.794238939545151
"458",132926433,201806,0.608138201593047
"459",132934000,201812,0.337912736456196
"460",132936066,201809,NA
"461",132938457,201806,0
"462",132944013,201804,0.164357353700445
"463",132950346,201812,0.709023456787788
"464",132972415,201806,0.980362273158465
"465",132976987,201812,0.659649839500084
"466",133008492,201906,NA
"467",133010578,201812,0.0273515574159467
"468",133020589,201806,0.36660170201508
"469",133022372,201812,0.797038745465106
"470",133023179,201812,0.0633149246872553
"471",133023183,201806,0.905430174872437
"472",133026182,201812,0.847003838409977
"473",133028376,201812,0.196149189240521
"474",133032463,201812,0.144770485815171
"475",133076810,201812,0.0109424281929434
"476",133097905,201806,1
"477",133098397,201812,0.862801146042578
"478",133108035,201812,0
"479",133110811,201812,0.847456400004563
"480",133154100,201812,0.539152487984701
"481",133160099,201806,0.871119483707671
"482",133176586,201806,0.924812708058188
"483",133176952,201806,0.938315625095686
"484",133183344,201806,0.0978686335962429
"485",133187792,201812,0.520099478127659
"486",133202014,201812,0.0538205972232239
"487",133203701,201806,0.951669417991364
"488",133206603,201812,0.493709325258937
"489",133212867,201812,0.52817304911488
"490",133213525,201803,0.853885241835977
"491",133234441,201806,0.795565354868993
"492",133248777,201812,0.564842224218205
"493",133257307,201806,0.465130033979859
"494",133281487,201806,0.482990587544345
"495",133313856,201812,0
"496",133402057,201706,0.0356550728254862
"497",133402057,201506,0.033655302392892
"498",133402057,201306,0.206369766467294
"499",133402057,201206,0.893571954029455
"500",133402057,201606,0.0313378579231059
"501",133420753,201806,0.963319116163502
"502",133421324,201812,0.819265037698608
"503",133439109,201807,0.552208786368263
"504",133439109,201907,0.498586166313711
"505",133463392,201806,NA
"506",133505123,201812,0
"507",133514340,201812,NA
"508",133516262,201806,0.603962055590273
"509",133518596,201812,0
"510",133544227,201906,0.786867408488622
"511",133556135,201812,0.260499077311448
"512",133570544,201812,0.000641661955798475
"513",133582492,201812,0.897930450863377
"514",133584089,201806,0.517261884010152
"515",133591350,201812,0.945568226516553
"516",133620671,201812,0.0473818235692409
"517",133627750,201812,0.058173082318022
"518",133635059,201806,0.52337408425435
"519",133636555,201806,0.348204555437343
"520",133652630,201806,0
"521",133687891,201806,0.875611120702789
"522",133687895,201806,0.99985393438176
"523",133706959,201812,0.0726313992802228
"524",133735311,201812,0
"525",133773591,201812,0
"526",133778489,201806,0.6530468705447
"527",133784406,201812,0.154061411646617
"528",133846708,201812,0
"529",133860487,201812,0
"530",133914167,201812,0
"531",133927797,201812,NA
"532",133940622,201812,1
"533",133946529,201812,0.661978009925694
"534",133970573,201812,NA
"535",133996271,201806,0.9979633401222
"536",133997769,201812,0.999966468211705
"537",134011201,201812,0.48754085675606
"538",134031037,201812,0.326023487319159
"539",134087428,201812,0.978435495174942
"540",134103352,201812,0.482408255831875
"541",134138205,201812,0
"542",134169825,201806,0
"543",134196931,201812,0
"544",134221502,201809,NA
"545",134233543,201812,-0.00735173991177912
"546",134236650,201906,0.139236012002144
"547",134284680,201812,0
"548",135562202,201806,0.789685652652134
"549",136202692,201806,0.795401051700932
"550",136222626,201806,0.687393770867149
"551",136265613,201812,0.510966173793372
"552",136271908,201806,0.645790343870476
"553",141491879,201811,0.970296261915867
"554",141492922,201812,0.882369015674672
"555",141493667,201802,0.816275464532801
"556",141503655,201804,0.365640460944872
"557",141503655,201904,0.295120133165114
"558",141504550,201906,0.674012266846871
"559",141548263,201806,0.969298428303835
"560",141558673,201812,NA
"561",141589002,201812,0.985027580772262
"562",141601549,201812,0.876302677046631
"563",141604145,201805,0.97508492591126
"564",141605957,201812,0.774675176920266
"565",141611857,201812,0.940234279011607
"566",141615406,201812,0.409062846787675
"567",141626314,201803,0.885335814885285
"568",141627038,201810,0.991002481514122
"569",141628657,201806,0.719351154573682
"570",141629449,201806,0.648282750889607
"571",141633606,201901,0.848604218852702
"572",141645491,201812,0.255059644173248
"573",141645494,201812,0.960484898196225
"574",141664058,201901,1
"575",141664264,201806,0.550356919629589
"576",141666190,201906,0.936702985939608
"577",141705132,201812,0.791969725369704
