"","ein","tax_pd","st_debt_ratio"
"228",43337726,201812,0.163446145565575
"229",43362851,201809,-0.0277148752868391
"230",43364974,201806,0
"231",43370097,201806,0.144340817752927
"232",43371170,201809,0.0326451244682475
"233",43408855,201812,0.143341978036052
"234",43458096,201906,0.112888579315326
"235",43460139,201812,0.265986127370416
"236",43469536,201812,0.00758529193393298
"237",43490920,201812,-0.24535953188001
"238",43500087,201906,-0.0259060323343954
"239",43502138,201906,0.0163616683867395
"240",43534715,201812,0.00276044962080489
"241",43534734,201812,-0.031578023820607
"242",43535025,201812,0.0239054214598244
"243",43538884,201812,0.00592050149287929
"244",43555681,201812,0.0523385195646065
"245",43562853,201806,-1.47813316631752
"246",43571892,201812,0.532675517057402
"247",43586322,201812,NA
"248",43611860,201812,0.155569208289054
"249",43613194,201812,0.104550547583764
"250",43617019,201806,0
"251",43617951,201806,0.444976311388746
"252",43627371,201812,0.158900333739274
"253",43627393,201806,0.0778363197474701
"254",43635313,201812,0.00523632636470927
"255",43669252,201806,-0.0135131694704772
"256",43728351,201812,NA
"257",43754904,201812,0.0030659916171432
"258",46125732,201809,0.12325280610451
"259",46132439,201812,0.0385934292766957
"260",46138418,201812,0.220435846065569
"261",50258819,201812,0.0910431448574658
"262",50258871,201812,0.149192593501158
"263",50258939,201806,0.632847791551775
"264",50259094,201812,0.137332381118317
"265",50300152,201812,1.56312802426063
"266",50309695,201809,0.0974468113606198
"267",50311985,201806,0.13108230587495
"268",50312991,201809,0.232270979495715
"269",50340202,201812,0.042016388896857
"270",50340915,201812,0.628306319488094
"271",50343709,201909,0.0686601577557338
"272",50370157,201812,0.00794032916857251
"273",50370946,201808,7.3330369137945
"274",50376075,201806,0.37599932058742
"275",50380608,201812,0.100811883956969
"276",50381201,201812,0.0379241043438181
"277",50383354,201812,0.00690852679212311
"278",50384495,201812,0.0557088315462566
"279",50396559,201812,0
"280",50432730,201806,0.003454557722151
"281",50445955,201906,0.0662611732108629
"282",50448151,201806,0.126234763203054
"283",50449399,201806,0
"284",50449399,201706,0
"285",50450845,201906,0
"286",50450845,201806,0
"287",50463993,201806,0.27994339960346
"288",50475365,201812,0.426700090819788
"289",50486136,201809,0.096261747897825
"290",50489479,201903,0.0289069235444452
"291",50489479,201803,0.0223487850594975
"292",50495681,201812,0.249963238383329
"293",50497260,201812,NA
"294",50513907,201812,0
"295",50520256,201812,-3.06415201361316
"296",56015153,201806,1.80968337774
"297",56018801,201806,0.201352245542755
"298",60646969,201806,0.0285313323404743
"299",60646974,201906,0.329974133092153
"300",60646994,201806,0.179425126687776
"301",60653158,201806,0.0994179153105403
"302",60676851,201809,0.0820506645526349
"303",60795640,201812,0.176233837988944
"304",60801861,201806,0.195193138546842
"305",60806128,201903,0.334851203210335
"306",60813725,201812,1.10060359946666
"307",60864050,201812,0.15887540439887
"308",60876558,201806,0.891097651756107
"309",60876677,201808,0.0624655746882534
"310",60890788,201812,0.606227569125006
"311",60903918,201812,0.0925066297398131
"312",60906671,201812,0.398695979521156
"313",60939659,201806,0.232974850816974
"314",60954802,201806,0.202176398369556
"315",60979507,201809,-0.648040107628861
"316",60993174,201812,-0.00998613126090486
"317",61006312,201806,0.0587109545331848
"318",61008590,201806,-0.155809370424703
"319",61011060,201812,0.107861910269465
"320",61021268,201812,0.0147914251668081
"321",61022915,201812,0.0699763721311112
"322",61045493,201906,0.040900796191616
"323",61063650,201812,-0.197557742184011
"324",61064281,201812,0.27706157240051
"325",61066148,201806,0.0110129830529559
"326",61174074,201906,0.000390637628371607
"327",61193489,201809,0.106307252217366
"328",61214680,201806,0.0239017407683893
"329",61230844,201809,0.0141656112545664
"330",61235451,201806,0.00431269104895849
"331",61258114,201812,0
"332",61276156,201906,0.0172689672922276
"333",61276156,201806,0.0158257446152865
"334",61322214,201806,0.0102534487890202
"335",61322214,201906,0.0168692198790197
