"","ein","tax_pd","pred_profitmargin"
"250",43617019,201806,0.112789839592962
"251",43617951,201806,0.0489279513964698
"252",43627371,201812,0.126867104646002
"253",43627393,201806,0.120378606261348
"254",43635313,201812,0.167189203029159
"255",43669252,201806,-2.52308645181914
"256",43728351,201812,NA
"257",43754904,201812,0.65162737420801
"258",46125732,201809,0.0488298210019033
"259",46132439,201812,0.183623423601992
"260",46138418,201812,-0.0621826785998705
"261",50258819,201812,0.0543579246942782
"262",50258871,201812,0.00577326097322355
"263",50258939,201806,-0.602429097486918
"264",50259094,201812,0.304186956822936
"265",50300152,201812,-0.0355479625722817
"266",50309695,201809,0.0918184817640008
"267",50311985,201806,-0.0262088579727457
"268",50312991,201809,0.00646295251402003
"269",50340202,201812,-0.428217182130584
"270",50340915,201812,0.00597120316059116
"271",50343709,201909,0.452663979064647
"272",50370157,201812,-0.0871166881990569
"273",50370946,201808,3.25145866985041
"274",50376075,201806,0.0127400102330793
"275",50380608,201812,0.0566770344481164
"276",50381201,201812,-0.340925789860397
"277",50383354,201812,0.466980226619164
"278",50384495,201812,0.51296216416071
"279",50396559,201812,0.993399572292285
"280",50432730,201806,-0.813993442934319
"281",50445955,201906,0.328437954857623
"282",50448151,201806,0.144035550793536
"283",50449399,201806,NA
"284",50449399,201706,NA
"285",50450845,201906,0.241928349607024
"286",50450845,201806,-0.0979648002642044
"287",50463993,201806,0.0130096302938176
"288",50475365,201812,-0.00508613303092561
"289",50486136,201809,0.418483344794048
"290",50489479,201903,0.125232545402954
"291",50489479,201803,0.0284386042359878
"292",50495681,201812,-0.34366370998843
"293",50497260,201812,NA
"294",50513907,201812,0.588230864544042
"295",50520256,201812,-0.951053889613212
"296",56015153,201806,0.0291306148786384
"297",56018801,201806,0.0631463124592732
"298",60646969,201806,0.143923956265855
"299",60646974,201906,-0.000276280084241157
"300",60646994,201806,0.0101945627073497
"301",60653158,201806,-0.0765606205621015
"302",60676851,201809,0.0716861480574272
"303",60795640,201812,0.0212954050366644
"304",60801861,201806,0.00134638953482075
"305",60806128,201903,0.0206344091324977
"306",60813725,201812,0.0049208025945392
"307",60864050,201812,-0.113050958731467
"308",60876558,201806,0.0407011728346709
"309",60876677,201808,-0.00257503597672231
"310",60890788,201812,0.0226506476832667
"311",60903918,201812,0.174635773971322
"312",60906671,201812,0.103162915787378
"313",60939659,201806,-0.122335543609137
"314",60954802,201806,0.00244903596211494
"315",60979507,201809,-0.00310627038629746
"316",60993174,201812,0.236183771816202
"317",61006312,201806,-0.459181727681889
"318",61008590,201806,-1.84124587007129
"319",61011060,201812,-0.199610824165353
"320",61021268,201812,-0.596179467403248
"321",61022915,201812,-0.0172253778868125
"322",61045493,201906,0.166936856251604
"323",61063650,201812,0.0881258374719342
"324",61064281,201812,0.0722863843979497
"325",61066148,201806,-0.369502751794748
"326",61174074,201906,0.27097330949886
"327",61193489,201809,-0.0601977250912759
"328",61214680,201806,0.179796240438876
"329",61230844,201809,0.0989734532950305
"330",61235451,201806,0.569248318546857
"331",61258114,201812,0.00538205693058615
"332",61276156,201906,0.400367530849168
"333",61276156,201806,0.332883072732066
"334",61322214,201806,0.0362470572925909
"335",61322214,201906,0.173467634267888
"336",61338915,201812,-0.023742808108118
"337",61353568,201812,0.213243338657979
"338",61354643,201809,NA
"339",61356231,201806,0.258688994750146
"340",61414605,201806,0.269577941292971
"341",61419774,201806,-0.380913023544493
"342",61421651,201806,NA
"343",61421674,201812,0.0738942841443038
"344",61423446,201812,0.277391089334031
"345",61423598,201806,0.412376171106795
"346",61428945,201812,0.222704995084567
"347",61428945,201812,0.222704995084567
"348",61440531,201906,-0.0992757572522601
"349",61466506,201812,-69
"350",61472525,201906,-0.0525992212582827
"351",61473638,201906,0.0601745936183022
"352",61613212,201812,-0.699949290060852
"353",61618332,201812,-0.019198055079297
"354",61637790,201809,0.444414673075724
"355",61665031,201812,0.409685870261864
"356",61683983,201812,0.30007285801562
"357",61714498,201809,0.627768413185417
"358",61781093,201812,-72.5263157894737
"359",61804372,201812,0.0813116129483325
"360",66066491,201806,-0.101318097196711
"361",66071847,201810,0.0104855573058448
"362",100131835,201806,0.599002954209749
"363",111630919,201812,0.260471966175689
"364",112137138,201806,0.308560208518946
"365",112141197,201812,0.00863467002865146
"366",112221341,201812,0.00709711205302482
"367",112268359,201812,-0.013453397054889
"368",112325394,201906,-0.0159286852535378
"369",112356150,201806,-0.00374676021819049
"370",112375583,201806,0.0477380194949094
"371",112382250,201806,0.261327214616401
"372",112412584,201712,0.0646008689567243
"373",112431586,201806,0.660598729734082
"374",112435523,201905,-0.185063963017654
"375",112436149,201806,0.0176283723120016
"376",112451752,201806,0.0704292719674758
"377",112453853,201806,0.0135432622532713
"378",112458675,201806,NA
"379",112475743,201806,0.092139733311087
"380",112490986,201806,0.0772884308317608
"381",112498292,201806,NA
"382",112526244,201807,-2.80082318370255
"383",112527097,201906,0.00145278450363196
"384",112527202,201905,0.0241190005867697
"385",112528786,201812,0.0484253093652654
"386",112534700,201803,-0.0253356088865339
"387",112538550,201808,0.463761997574839
"388",112573432,201806,0.556219244936076
"389",112578155,201807,0.236991736286657
"390",112594653,201806,0.161022164616014
"391",112600290,201812,0.0204430570749557
"392",112600290,201712,0.00157518298282884
"393",112603787,201812,0.0576972752794565
"394",112627786,201812,-0.0253352665778155
"395",112647339,201812,-0.126148289428827
"396",112665181,201806,0.0160332473171437
"397",112683663,201806,0.0308568689133666
"398",112689903,201812,-6.1676961764137
"399",112710506,201812,-0.37054558000317
"400",112737223,201812,0.0226573402860238
"401",112783877,201812,0.121620701276247
"402",112840553,201806,-0.0575564907925682
"403",112848726,201809,-0.140509649104499
"404",112848938,201806,1
"405",112857055,201806,-0.472217739008354
"406",112889068,201812,0.115822103855465
"407",112890302,201812,0.486619190982819
"408",112911043,201812,-0.183015663228127
"409",113039699,201805,-0.0521909348233651
"410",113048002,201812,0.493360137175334
"411",113099604,201812,0.0956389214423567
"412",113132562,201812,0.738394625491605
"413",113199716,201812,0.0072580889252096
"414",113204890,201812,0.102982850984246
"415",113211896,201812,NA
"416",113211896,201712,NA
"417",113250772,201812,0.28461010759434
"418",113306111,201806,0.00140931054627882
"419",113312539,201812,0.399196047970857
"420",113317234,201812,-0.566168561369427
"421",113317929,201806,0.00356063066889883
"422",113415840,201812,-0.347500986369017
"423",113422018,201812,0.0283434255786324
"424",113442366,201812,NA
"425",113458791,201806,NA
"426",113462888,201906,0.00335204439705533
"427",113580935,201812,0.140340284105822
"428",113603198,201812,0.0392547987235364
"429",113613094,201812,-1.22800194457948
"430",113633048,201812,-0.466081408102509
"431",113666873,201812,-0.0248533554083536
"432",113687996,201809,0.848686779925796
"433",113704014,201906,0.0947613811304157
"434",113754129,201812,0.168229495676619
"435",116083182,201806,0.0922889074550075
"436",123799161,201906,0.00749764270321422
"437",123799161,201706,0.00347257721389927
"438",131562242,201806,0.211182701570153
"439",131624178,201806,0.0383289781776803
"440",131671035,201806,-0.0265012376639763
"441",131919799,201806,0.0633324491471948
"442",131943516,201806,-0.00493678488189368
"443",132564241,201812,0.0201103027567546
"444",132579051,201807,0.00341110973040216
"445",132617705,201812,0.0382440921216046
"446",132735378,201812,-0.168051659393405
"447",132736022,201803,-0.0367430249405861
"448",132778910,201812,-0.157926422912113
"449",132802083,201906,0.0932769339766996
"450",132806160,201806,0.119486596490343
"451",132834016,201812,0.0707405043278574
"452",132850133,201806,-0.154870575322418
"453",132851988,201812,0.566748533706616
"454",132868189,201809,1
"455",132875743,201812,-0.0129422578137594
"456",132902798,201806,0.576085775046617
"457",132922191,201812,-7.85413509740698e-06
"458",132926433,201806,0.303673068335367
"459",132934000,201812,0.108719222700252
"460",132936066,201809,NA
"461",132938457,201806,0.808124694602103
"462",132944013,201804,0.0919334857655504
"463",132950346,201812,-0.0655045791720978
"464",132972415,201806,0.0384225869234733
"465",132976987,201812,0.210803064194985
"466",133008492,201906,NA
"467",133010578,201812,0.316903262969149
"468",133020589,201806,0.206880814850743
"469",133022372,201812,0.0997129653790793
"470",133023179,201812,0.0232186443312738
"471",133023183,201806,-0.530767216548835
"472",133026182,201812,0.463371672034993
"473",133028376,201812,0.0115160292174133
"474",133032463,201812,0.240989894070376
"475",133076810,201812,0.269143642149235
"476",133097905,201806,0.125954987872672
"477",133098397,201812,-0.00789218854729099
"478",133108035,201812,0.045966133171431
"479",133110811,201812,-0.02335922464715
"480",133154100,201812,0.490106916916291
"481",133160099,201806,0.046491239694611
"482",133176586,201806,0.335665499091842
"483",133176952,201806,0.0983576502648581
"484",133183344,201806,-0.0335534286581156
"485",133187792,201812,-0.0837262929449873
"486",133202014,201812,0.0792131661940976
"487",133203701,201806,0.0672917308514698
"488",133206603,201812,-0.793246079654316
"489",133212867,201812,-0.0161577125386785
"490",133213525,201803,0.117676804489523
"491",133234441,201806,-0.0197526555723149
"492",133248777,201812,-0.0672122229398167
"493",133257307,201806,0.0480857901879097
"494",133281487,201806,0.136169639602278
"495",133313856,201812,0.332117476888246
"496",133402057,201706,0.000231757973365661
"497",133402057,201506,0.0566643107954992
"498",133402057,201306,-2.54065869175969
"499",133402057,201206,-0.22609435681099
"500",133402057,201606,0.000658095016385223
"501",133420753,201806,0.0846827931248051
"502",133421324,201812,0.0464714017203067
"503",133439109,201807,0.594546907002267
"504",133439109,201907,-1.21347079369401
"505",133463392,201806,NA
"506",133505123,201812,0.309520193303417
"507",133514340,201812,NA
"508",133516262,201806,0.0987575436338068
"509",133518596,201812,0.995495565281382
"510",133544227,201906,0.0117094604937766
"511",133556135,201812,0.0958584198991833
"512",133570544,201812,0.246953549449358
"513",133582492,201812,0.940413609130029
"514",133584089,201806,-0.0595948381364917
"515",133591350,201812,0.0308673666850439
"516",133620671,201812,0.244838710085895
"517",133627750,201812,0.03420537138761
"518",133635059,201806,0.000158710078089959
"519",133636555,201806,0.0390072826535053
"520",133652630,201806,-0.109810767924267
"521",133687891,201806,-0.00938785909142867
"522",133687895,201806,0.833200019475416
"523",133706959,201812,0.203729259196043
"524",133735311,201812,-4.31568277681098
"525",133773591,201812,0.074322190015426
"526",133778489,201806,0.127531983111312
"527",133784406,201812,-0.0555259836053108
"528",133846708,201812,0.940777778593133
"529",133860487,201812,-0.707825839043017
"530",133914167,201812,1
"531",133927797,201812,NA
"532",133940622,201812,0.0238495543079008
"533",133946529,201812,0.0574209646020126
"534",133970573,201812,NA
