"","ein","tax_pd","quick_ratio"
"283",50449399,201806,NA
"284",50449399,201706,NA
"285",50450845,201906,NA
"286",50450845,201806,NA
"287",50463993,201806,0.390529389990985
"288",50475365,201812,1.80846011561531
"289",50486136,201809,1.92527605026019
"290",50489479,201903,12.0994492009455
"291",50489479,201803,17.3018261778145
"292",50495681,201812,2.87791247347522
"293",50497260,201812,NA
"294",50513907,201812,NA
"295",50520256,201812,0.887821402787805
"296",56015153,201806,1.39768481301166
"297",56018801,201806,3.03497313865959
"298",60646969,201806,8.66686533828548
"299",60646974,201906,1.83620833253411
"300",60646994,201806,1.62528971855911
"301",60653158,201806,17.4552180816919
"302",60676851,201809,3.8875498248086
"303",60795640,201812,4.22539685059117
"304",60801861,201806,10.398850263703
"305",60806128,201903,3.39712697460329
"306",60813725,201812,2.19162733181523
"307",60864050,201812,5.97455851200258
"308",60876558,201806,3.54394258700234
"309",60876677,201808,4.89603021158954
"310",60890788,201812,0.367068289835738
"311",60903918,201812,3.07803348166985
"312",60906671,201812,0.462794685278766
"313",60939659,201806,3.50340223418134
"314",60954802,201806,1.87834278510628
"315",60979507,201809,0.659813288346829
"316",60993174,201812,-53.1873010526316
"317",61006312,201806,2.39784851164162
"318",61008590,201806,2.37250822125333
"319",61011060,201812,1.08758638029235
"320",61021268,201812,33.0862172575913
"321",61022915,201812,2.18939051603255
"322",61045493,201906,1.50420712581936
"323",61063650,201812,1.6146224923585
"324",61064281,201812,1.25806360331168
"325",61066148,201806,6.51761258678897
"326",61174074,201906,6336.24827586207
"327",61193489,201809,1.02104658710741
"328",61214680,201806,8.01302820391397
"329",61230844,201809,4.38764094981919
"330",61235451,201806,7.03534598714691
"331",61258114,201812,NA
"332",61276156,201906,21.1884309890477
"333",61276156,201806,32.3190227918985
"334",61322214,201806,3.78694121221871
"335",61322214,201906,6.63053867113813
"336",61338915,201812,5.50524415405777
"337",61353568,201812,7.70452944801479
"338",61354643,201809,NA
"339",61356231,201806,4.56093330158838
"340",61414605,201806,20.4240779179307
"341",61419774,201806,1.47029157342774
"342",61421651,201806,34.4106171201062
"343",61421674,201812,11.3160761380576
"344",61423446,201812,NA
"345",61423598,201806,125.479391062367
"346",61428945,201812,679.15667311412
"347",61428945,201812,679.15667311412
"348",61440531,201906,6.38216489063376
"349",61466506,201812,NA
"350",61472525,201906,0.427824806772175
"351",61473638,201906,0.319757135259706
"352",61613212,201812,74.598428698488
"353",61618332,201812,5.61863087474229
"354",61637790,201809,37.3582590899887
"355",61665031,201812,7.31608142863754
"356",61683983,201812,17.3178268872401
"357",61714498,201809,2.18190784838664
"358",61781093,201812,NA
"359",61804372,201812,NA
"360",66066491,201806,0.990094504725236
"361",66071847,201810,0.281670179572924
"362",100131835,201806,12.6364078141705
"363",111630919,201812,14.3853161243953
"364",112137138,201806,3.3355025898505
"365",112141197,201812,7.30247237146726
"366",112221341,201812,4.79907580892834
"367",112268359,201812,3.37841051117382
"368",112325394,201906,5.53821900047148
"369",112356150,201806,86.1978158695051
"370",112375583,201806,2.7122559759816
"371",112382250,201806,69.0095443349754
"372",112412584,201712,18.0018336296068
"373",112431586,201806,83.8296826643659
"374",112435523,201905,14.2343188405797
"375",112436149,201806,15.7374860737279
"376",112451752,201806,7.61404756939759
"377",112453853,201806,2.10533680750522
"378",112458675,201806,NA
"379",112475743,201806,2.05351586190479
"380",112490986,201806,0.335127162560791
"381",112498292,201806,NA
"382",112526244,201807,18.9877387537124
"383",112527097,201906,1.17751336769594
"384",112527202,201905,1.12960167427179
"385",112528786,201812,125.800666666667
"386",112534700,201803,0.841943520205989
"387",112538550,201808,3.45148950734519
"388",112573432,201806,16.1156774697384
"389",112578155,201807,1.85142527523742
"390",112594653,201806,2.60613551894556
"391",112600290,201812,2.03654343569033
"392",112600290,201712,1.19986937743601
"393",112603787,201812,1.71489034126106
"394",112627786,201812,1.7310265723571
"395",112647339,201812,9.34399318164974
"396",112665181,201806,1.56337885849994
"397",112683663,201806,3.10933031654529
"398",112689903,201812,190.016949152542
"399",112710506,201812,37.0404606361165
"400",112737223,201812,13.8964014408502
"401",112783877,201812,4.83002104837938
"402",112840553,201806,14.280913613026
"403",112848726,201809,10.416197324598
"404",112848938,201806,NA
"405",112857055,201806,0.940309922079144
"406",112889068,201812,10.9677703060068
"407",112890302,201812,4.20251195396912
"408",112911043,201812,35.1272914917436
"409",113039699,201805,NA
"410",113048002,201812,7.80581902571833
"411",113099604,201812,3.42765386326472
"412",113132562,201812,23.0711149443312
"413",113199716,201812,NA
"414",113204890,201812,28.208423703911
"415",113211896,201812,NA
"416",113211896,201712,NA
"417",113250772,201812,10.3613512013322
"418",113306111,201806,7.85641534606749
"419",113312539,201812,26.5621705208407
"420",113317234,201812,15.1717480737869
"421",113317929,201806,5.43958758457738
"422",113415840,201812,0.619971491922711
"423",113422018,201812,2.80084869851355
"424",113442366,201812,0
"425",113458791,201806,NA
"426",113462888,201906,1.02377134207302
"427",113580935,201812,10.2528133373028
"428",113603198,201812,NA
"429",113613094,201812,35.6896590909091
"430",113633048,201812,23.0753976045553
"431",113666873,201812,0.785712393717056
"432",113687996,201809,0.710940535260359
"433",113704014,201906,0.042288003561095
"434",113754129,201812,7.90749212883242
"435",116083182,201806,1.20774074484184
"436",123799161,201906,2.18373441067978
"437",123799161,201706,0.783997587197064
"438",131562242,201806,3.53005548166597
"439",131624178,201806,1.73791192876738
"440",131671035,201806,0.60655306173574
"441",131919799,201806,4.2956604795968
"442",131943516,201806,0.246026079988344
"443",132564241,201812,4.35802162605058
"444",132579051,201807,1.10734648673038
"445",132617705,201812,51.6785841066991
"446",132735378,201812,402.572527870739
"447",132736022,201803,3.31877066526756
"448",132778910,201812,4.27795485164131
"449",132802083,201906,0.0742912444495047
"450",132806160,201806,3.9383242291131
"451",132834016,201812,2.76503595387605
"452",132850133,201806,10.6814327107046
"453",132851988,201812,18.0183922993858
"454",132868189,201809,6.5378545890125
"455",132875743,201812,0.717006298938722
"456",132902798,201806,15.6174396434888
"457",132922191,201812,6.24437793331548
"458",132926433,201806,8.73347743899512
"459",132934000,201812,5.41984443032679
"460",132936066,201809,NA
"461",132938457,201806,53.2995
"462",132944013,201804,33.3268064970964
"463",132950346,201812,60.1285776048422
"464",132972415,201806,3.1245747150827
"465",132976987,201812,17.6575455621126
"466",133008492,201906,NA
"467",133010578,201812,284.143731503901
"468",133020589,201806,52.4439024390244
"469",133022372,201812,8.31278818104827
"470",133023179,201812,41.8933614153328
"471",133023183,201806,2.84007536612521
"472",133026182,201812,175.971604515908
"473",133028376,201812,1.75764619525324
"474",133032463,201812,60.3712775330396
"475",133076810,201812,4.26330783316638
"476",133097905,201806,2.7936170212766
"477",133098397,201812,23.4985734370487
"478",133108035,201812,37.1079347910067
"479",133110811,201812,7.36286988879323
"480",133154100,201812,48.1693568638393
"481",133160099,201806,5.19125249104721
"482",133176586,201806,6.07151295661159
"483",133176952,201806,14.7522518462019
"484",133183344,201806,2.79377591579068
"485",133187792,201812,3.6677274624374
"486",133202014,201812,11.1965207151501
"487",133203701,201806,2.4954845042771
"488",133206603,201812,NA
"489",133212867,201812,2.47313367393789
"490",133213525,201803,0.856184627231309
"491",133234441,201806,6.20703470437342
"492",133248777,201812,4.51642164177003
"493",133257307,201806,1.7519187591846
"494",133281487,201806,2.17502242203376
"495",133313856,201812,NA
"496",133402057,201706,0.120111078814701
"497",133402057,201506,0.12004888217957
"498",133402057,201306,0.124149568716211
"499",133402057,201206,0.295853265130821
"500",133402057,201606,0.120094826427632
"501",133420753,201806,1.98238444816793
"502",133421324,201812,377.321428571429
"503",133439109,201807,206.431728880157
"504",133439109,201907,153.709554896142
"505",133463392,201806,NA
"506",133505123,201812,22.0025448700777
"507",133514340,201812,NA
"508",133516262,201806,5.67575392671684
"509",133518596,201812,0.149391584811611
"510",133544227,201906,12.0079185668178
"511",133556135,201812,10.5491683688357
"512",133570544,201812,13.7486513756366
"513",133582492,201812,180.147632311978
"514",133584089,201806,1.08612662193647
"515",133591350,201812,40.6290674202665
"516",133620671,201812,1.12686935588524
"517",133627750,201812,2.11521671265573
"518",133635059,201806,3.91440158615717
"519",133636555,201806,6.95720274424805
"520",133652630,201806,3.83761538009289
"521",133687891,201806,2.82092339712304
"522",133687895,201806,NA
"523",133706959,201812,38.4021022543912
"524",133735311,201812,0
"525",133773591,201812,0.286609109279568
"526",133778489,201806,17.691680498084
"527",133784406,201812,49.3456732539585
"528",133846708,201812,8.19412433570156
"529",133860487,201812,5.06830816071703
"530",133914167,201812,NA
"531",133927797,201812,0.254920337394564
"532",133940622,201812,NA
"533",133946529,201812,7.70135982526598
"534",133970573,201812,NA
"535",133996271,201806,0.204478069727022
"536",133997769,201812,1.75395649746273
"537",134011201,201812,9.69382528250341
"538",134031037,201812,32.92018735363
"539",134087428,201812,NA
"540",134103352,201812,38.2799504392881
"541",134138205,201812,26.8348348348348
"542",134169825,201806,91.9155844155844
"543",134196931,201812,1.72694141939006
"544",134221502,201809,NA
"545",134233543,201812,175.28526645768
"546",134236650,201906,0.362549928103531
"547",134284680,201812,6.57208719500662
"548",135562202,201806,1.83966207145247
"549",136202692,201806,5.03592412045919
"550",136222626,201806,19.8778957780207
"551",136265613,201812,4.59647347882642
"552",136271908,201806,3.85741234777367
"553",141491879,201811,1.1152105848307
"554",141492922,201812,1.25779382047604
"555",141493667,201802,3.33118354129991
"556",141503655,201804,3.21307562509587
"557",141503655,201904,4.29544019440883
"558",141504550,201906,7.61546351256983
"559",141548263,201806,1.64497251285689
"560",141558673,201812,11.8252033397338
"561",141589002,201812,6.42553191489362
"562",141601549,201812,17.8722888080215
"563",141604145,201805,15.0614418016401
"564",141605957,201812,36.4427513309158
"565",141611857,201812,2.83096916101809
"566",141615406,201812,123.220155968806
"567",141626314,201803,2.47211650865421
"568",141627038,201810,2.36942405866058
"569",141628657,201806,1.17661408359083
"570",141629449,201806,13.8658216387506
"571",141633606,201901,10.0977875673899
"572",141645491,201812,11.3791999492836
"573",141645494,201812,0.554954538236898
"574",141664058,201901,0.788310924766437
"575",141664264,201806,1.95116256445179
