"","ein","tax_pd","currentratio"
"509",133518596,201812,0.149391584811611
"510",133544227,201906,12.0250806883665
"511",133556135,201812,11.2994844859449
"512",133570544,201812,14.3048566366619
"513",133582492,201812,180.147632311978
"514",133584089,201806,1.20073753334664
"515",133591350,201812,41.2388373031893
"516",133620671,201812,1.53236011372078
"517",133627750,201812,2.2220241555687
"518",133635059,201806,4.70012617159337
"519",133636555,201806,7.05561840804592
"520",133652630,201806,5.43950261626198
"521",133687891,201806,2.84914783305498
"522",133687895,201806,NA
"523",133706959,201812,38.4021022543912
"524",133735311,201812,0.00212222828486116
"525",133773591,201812,0.52998632018709
"526",133778489,201806,17.9862782141792
"527",133784406,201812,51.1260095740763
"528",133846708,201812,8.85784214898027
"529",133860487,201812,5.09690174412306
"530",133914167,201812,NA
"531",133927797,201812,0.254920337394564
"532",133940622,201812,NA
"533",133946529,201812,7.82432889452547
"534",133970573,201812,NA
"535",133996271,201806,0.204478069727022
"536",133997769,201812,1.85341980529717
"537",134011201,201812,72.0575096237427
"538",134031037,201812,33.3798594847775
"539",134087428,201812,NA
"540",134103352,201812,38.3958098670872
"541",134138205,201812,26.8348348348348
"542",134169825,201806,93.1939935064935
"543",134196931,201812,1.72696416521557
"544",134221502,201809,NA
"545",134233543,201812,175.28526645768
"546",134236650,201906,0.561655216488257
"547",134284680,201812,6.57208719500662
"548",135562202,201806,1.89109863707656
"549",136202692,201806,5.12653574684955
"550",136222626,201806,20.1482638346608
"551",136265613,201812,4.6700390229802
"552",136271908,201806,3.94131961110429
"553",141491879,201811,1.15759732191031
"554",141492922,201812,1.35360927655805
"555",141493667,201802,3.57931621802661
"556",141503655,201804,3.30605921153551
"557",141503655,201904,4.46465815809112
"558",141504550,201906,7.98788844273743
"559",141548263,201806,2.21955725010345
"560",141558673,201812,11.9358805635261
"561",141589002,201812,6.42553191489362
"562",141601549,201812,17.9785107779966
"563",141604145,201805,15.1975847578638
"564",141605957,201812,36.7892137952319
"565",141611857,201812,3.08992458589577
"566",141615406,201812,124.778344331134
"567",141626314,201803,2.49000684920925
"568",141627038,201810,2.54948223965268
"569",141628657,201806,1.36127825662709
"570",141629449,201806,14.041828881847
"571",141633606,201901,10.1172562638222
"572",141645491,201812,11.5723976163307
"573",141645494,201812,0.573480983382466
"574",141664058,201901,0.78954686487484
"575",141664264,201806,1.98513474073353
"576",141666190,201906,439.954887218045
"577",141705132,201812,1.45789350721067
"578",141708404,201906,0.996151706804557
"579",141715960,201812,19.4911509978662
"580",141724406,201812,3.87230706203116
"581",141724900,201904,18.6386559532505
"582",141758441,201906,22.6288325849904
"583",141758686,201806,4.37919926369075
"584",141758686,201906,2.34277198211624
"585",141770461,201812,10.4561969621336
"586",141815690,201806,2.92381212014304
"587",141819599,201806,2.25566993601108
"588",141828476,201812,6.1691774599083
"589",141855665,201812,20.8287520296915
"590",141869951,201806,8.41390708208361
"591",141884382,201812,0.253809799205072
"592",141891112,201812,NA
"593",141891112,201712,NA
"594",141959607,201812,26.3061742317451
"595",141959607,201712,21.2252504419564
"596",141973678,201812,101.538678301973
"597",141977260,201812,21.899951136086
"598",141983932,201806,38.6771697070205
"599",141987692,201809,153.032012195122
"600",141990608,201812,3.93325168401715
"601",160743940,201903,4.39806289957379
"602",160863402,201803,1.16153364000467
"603",160902835,201809,1.11427356413848
"604",160903802,201812,2.58361397486176
"605",160905222,201810,1.21883426508216
"606",160907793,201812,3.76767872772052
"607",160909190,201812,1.7851492451464
"608",160909583,201812,2.24388687833451
"609",160911473,201802,4.11617085716594
"610",160950820,201906,1.62613718072967
"611",160963924,201806,NA
"612",160984913,201809,1.30540710603309
"613",160999976,201904,23.6858476658477
"614",161002392,201809,14.1633365906397
"615",161004653,201812,8.29147337014705
"616",161006727,201812,12.7744050064467
"617",161063363,201812,43.7655532891382
"618",161065303,201808,64.9680638722555
"619",161067572,201712,2.54872713849634
"620",161067572,201812,3.15879430330395
"621",161072548,201812,10.038394476217
"622",161079046,201812,22.5516091687891
"623",161080227,201812,1.67002490278533
"624",161086304,201812,21.8733777621887
"625",161092291,201808,3.68378827634525
"626",161094813,201809,3.14866548966663
"627",161109094,201906,13.2968527178059
"628",161116852,201906,12.6216239153035
"629",161119263,201812,8.91929886218864
"630",161125586,201811,NA
"631",161130177,201806,7.67623122745197
"632",161132971,201808,15.0737914382898
"633",161137874,201906,47.0501299581874
"634",161139614,201812,6.93716086119377
"635",161159574,201906,21.7805649717514
"636",161159720,201812,9.44657097288676
"637",161160170,201809,NA
"638",161160170,201909,NA
"639",161163460,201812,69.0087436332767
"640",161164184,201806,28.5888935810811
"641",161165911,201812,9.88178224937118
"642",161166659,201808,20.9392738371828
"643",161167946,201812,23.2853674900884
"644",161169252,201808,7.83525170114086
"645",161170113,201806,8.88559055668087
"646",161170113,201906,11.343773928897
"647",161183242,201809,18.7999510361193
"648",161190886,201806,2.83169798769333
"649",161199332,201906,0.487769353551476
"650",161199332,201806,0.247351005688367
"651",161265765,201809,15.366234438191
"652",161271229,201812,25.626831443496
"653",161277244,201812,93.462291870715
"654",161289461,201809,4.48529828453001
"655",161301678,201903,14.8127782237466
"656",161321037,201803,1.45981854027316
"657",161328750,201809,6.18515398680994
"658",161329890,201906,NA
"659",161330593,201812,2.52217444040137
"660",161337423,201806,1.31881527714019
"661",161337423,201906,1.32780638802904
"662",161370403,201906,121.571984435798
"663",161375112,201906,24.4893333333333
"664",161375112,201806,NA
"665",161375637,201812,2.27560140130512
"666",161387187,201906,2.4251976343615
"667",161399793,201812,103.958622986305
"668",161408996,201812,188.153559448379
"669",161429861,201812,8.33539533191246
"670",161450203,201812,0.93371886870067
"671",161452557,201903,6.46852091418715
"672",161453947,201812,2.05281926044391
"673",161481094,201805,1.69885844748858
"674",161481094,201905,18.4941909889487
"675",161481094,201705,0.7791680596017
"676",161509425,201812,16.4907016721363
"677",161559032,201806,19.3335425164732
"678",161561999,201812,15.0860660202636
"679",161568466,201812,NA
"680",161572206,201812,7.51028037383178
"681",161585356,201812,1.3550655920784
"682",161605654,201812,20.0061955469506
"683",161607165,201903,42.3393275859029
"684",161617489,201812,0.0297408272432758
"685",161637410,201812,NA
"686",161660243,201903,2.24717232202262
"687",161671788,201906,9.60252170318313
"688",161744136,201809,NA
"689",161765276,201812,4.61170167019282
"690",166063879,201902,2.75837434198051
"691",166063879,201802,2.80645355535026
"692",166066346,201903,2.1601235428913
"693",166066837,201812,5.68428594920948
"694",166095039,201901,1.20928775848658
"695",166101149,201906,13.5047395098848
"696",200001916,201812,9.49490021282576
"697",200062075,201806,14.5748856073211
"698",200070040,201812,10.4300769011678
"699",200125143,201812,6.4203911743312
"700",200146547,201806,1.82803067407796
"701",200164382,201812,16.7919517758227
"702",200177581,201806,0.105503881927896
"703",200203845,201812,0.81598623853211
"704",200246423,201812,1.54360252575607
"705",200310400,201806,6.16873003103092
"706",200318338,201812,2.38366617957461
"707",200330858,201812,10.5773270370401
"708",200428240,201812,0.61309063422866
"709",200436490,201809,10.4795215258255
"710",200446324,201812,4.67994158374078
"711",200458814,201812,15.249078542387
"712",200468802,201812,NA
"713",200470082,201812,311.567551505547
"714",200503404,201812,0.247354868035773
"715",200530683,201812,4.34718372893054
"716",200553370,201812,172.810567670671
"717",200573561,201812,0.190577355661085
"718",200688727,201812,1.9456291483812
"719",200696964,201806,11.7968198783169
"720",200701353,201806,5.02116855266175
"721",200726638,201806,NA
"722",200951085,201809,167.387143997871
"723",200956663,201812,1.60957264957265
"724",201044089,201806,22.0043613707165
"725",201110283,201806,NA
"726",201150352,201712,NA
"727",201150352,201812,NA
"728",201249814,201812,1.1472085818805
"729",201309418,201809,2.21981027789271
"730",201309418,201609,124.223493506494
"731",201324945,201712,25.0993042592907
"732",201413891,201812,22.4895099747258
"733",201484525,201903,0.121668694478241
"734",201545635,201812,NA
"735",201583332,201812,0.495478351387398
"736",201592192,201812,36.9366888519135
"737",201594213,201806,48.0995919160513
"738",201683627,201806,NA
"739",201688621,201806,NA
"740",201700622,201812,1624.48472505092
"741",201788094,201812,NA
"742",201793571,201812,4.83621021560575
"743",201794339,201812,6.53183217236352
