"","ein","tax_pd","postd_profitmargin"
"223",43322638,201812,0.0894477155662379
"224",43330633,201906,-0.113566150202773
"225",43330633,201806,-0.360589991145686
"226",43331491,201806,0.959454394341867
"227",43333866,201812,0.44099332464134
"228",43337726,201812,0.0354703554634235
"229",43362851,201809,-0.138717053488642
"230",43364974,201806,0.733711925658234
"231",43370097,201806,0.446662454611214
"232",43371170,201809,-0.0254743687215904
"233",43408855,201812,0.102603120949501
"234",43458096,201906,0.0449615973687532
"235",43460139,201812,0.0386155302301071
"236",43469536,201812,-0.0709204342282942
"237",43490920,201812,-0.202895114977285
"238",43500087,201906,-0.538696670135276
"239",43502138,201906,-0.439454646084687
"240",43534715,201812,-0.00853333022299959
"241",43534734,201812,-0.0316526753591386
"242",43535025,201812,-115.451336531871
"243",43538884,201812,-0.242374243570348
"244",43555681,201812,0.138229165508992
"245",43562853,201806,0.0336717204609595
"246",43571892,201812,0.215747089521679
"247",43586322,201812,1
"248",43611860,201812,0.0251364392751924
"249",43613194,201812,-0.00893685518426117
"250",43617019,201806,0.112789839592962
"251",43617951,201806,-0.0392561899266938
"252",43627371,201812,0.0950637609350554
"253",43627393,201806,0.109415929436769
"254",43635313,201812,0.134126338767509
"255",43669252,201806,-2.52308645181914
"256",43728351,201812,-0.134549709511953
"257",43754904,201812,0.623819500312076
"258",46125732,201809,0.00618522291270315
"259",46132439,201812,0.0846683679789896
"260",46138418,201812,-0.0657121070760538
"261",50258819,201812,0.0431711975827274
"262",50258871,201812,-0.0178524794424616
"263",50258939,201806,-0.602429097486918
"264",50259094,201812,0.253661367794727
"265",50300152,201812,-0.0460686207657699
"266",50309695,201809,0.0778564258157082
"267",50311985,201806,-0.0372396741146407
"268",50312991,201809,0.00646295251402003
"269",50340202,201812,-0.468096219931271
"270",50340915,201812,-0.0455753813529961
"271",50343709,201909,0.392554408233602
"272",50370157,201812,-0.168121865735513
"273",50370946,201808,3.29671184774212
"274",50376075,201806,0.00103524431765897
"275",50380608,201812,0.02709177004663
"276",50381201,201812,-0.340925789860397
"277",50383354,201812,0.464916462081197
"278",50384495,201812,0.51296216416071
"279",50396559,201812,0.993399572292285
"280",50432730,201806,-0.813993442934319
"281",50445955,201906,0.237032073228233
"282",50448151,201806,0.0407907270205232
"283",50449399,201806,NA
"284",50449399,201706,NA
"285",50450845,201906,0.229170945674106
"286",50450845,201806,-0.115259181791911
"287",50463993,201806,-0.0054540910609626
"288",50475365,201812,-0.0242606075873308
"289",50486136,201809,0.20583443294243
"290",50489479,201903,0.081713241870506
"291",50489479,201803,-0.0179687211330713
"292",50495681,201812,-0.491847281141535
"293",50497260,201812,-0.816195980559569
"294",50513907,201812,0.588230864544042
"295",50520256,201812,-0.960506301607997
"296",56015153,201806,0.0156480502851751
"297",56018801,201806,0.0465497296103943
"298",60646969,201806,0.0871804128705107
"299",60646974,201906,-0.0246456491406623
"300",60646994,201806,-0.013272859374942
"301",60653158,201806,-0.0784335915775315
"302",60676851,201809,-0.00789767005237193
"303",60795640,201812,0.00496535667297477
"304",60801861,201806,-0.011638021173975
"305",60806128,201903,-0.00158488184996464
"306",60813725,201812,-0.00153867615505995
"307",60864050,201812,-0.114221553411143
"308",60876558,201806,0.0393134608948294
"309",60876677,201808,-0.0638315126176098
"310",60890788,201812,0.0170627920489616
"311",60903918,201812,-0.0537860810286059
"312",60906671,201812,0.0535895225768797
"313",60939659,201806,-0.164373564875269
"314",60954802,201806,-0.0292120961017246
"315",60979507,201809,-0.00468833579811837
"316",60993174,201812,0.231825328862151
"317",61006312,201806,-0.654746848754224
"318",61008590,201806,-1.85039667099718
"319",61011060,201812,-0.391040710858845
"320",61021268,201812,-0.636050755360001
"321",61022915,201812,-0.182686088828396
"322",61045493,201906,-0.0324050543312095
"323",61063650,201812,-0.115465036430833
"324",61064281,201812,0.0585074450197852
"325",61066148,201806,-0.402889807237786
"326",61174074,201906,0.27097330949886
"327",61193489,201809,-0.0794262980289157
"328",61214680,201806,0.164600676807978
"329",61230844,201809,-0.476562243394906
"330",61235451,201806,0.305908468046953
"331",61258114,201812,-0.157271824111269
"332",61276156,201906,0.396131736492159
"333",61276156,201806,0.327226601247916
"334",61322214,201806,0.0362470572925909
"335",61322214,201906,0.000307993284953272
"336",61338915,201812,-0.0552067657529305
"337",61353568,201812,-0.112649471671601
"338",61354643,201809,-0.856463248603337
"339",61356231,201806,0.0675068053665176
"340",61414605,201806,-0.0600351366087115
"341",61419774,201806,-0.401004906012282
"342",61421651,201806,NA
"343",61421674,201812,0.0195476769874289
"344",61423446,201812,-0.0246626384120416
"345",61423598,201806,0.389445075549367
"346",61428945,201812,-0.236012543323981
"347",61428945,201812,-0.236012543323981
"348",61440531,201906,-0.230695756240905
"349",61466506,201812,-69
"350",61472525,201906,-0.237306412420833
"351",61473638,201906,-0.229635761589404
"352",61613212,201812,-0.699949290060852
"353",61618332,201812,-0.348424774967853
"354",61637790,201809,0.432401155847726
"355",61665031,201812,0.396172158907907
"356",61683983,201812,0.188721868137312
"357",61714498,201809,0.623709918252722
"358",61781093,201812,-72.5263157894737
"359",61804372,201812,0.0813116129483325
"360",66066491,201806,-0.208645907312054
"361",66071847,201810,-0.00408219865127651
"362",100131835,201806,0.599002954209749
"363",111630919,201812,0.177456814768671
"364",112137138,201806,-0.124075853386056
"365",112141197,201812,0.00704377696395374
"366",112221341,201812,0.00663874096197891
"367",112268359,201812,-0.013453397054889
"368",112325394,201906,-0.181428564942818
"369",112356150,201806,-0.00374676021819049
"370",112375583,201806,0.0366784045612652
"371",112382250,201806,0.261327214616401
"372",112412584,201712,0.0646008689567243
"373",112431586,201806,0.655129452923936
"374",112435523,201905,-0.187093729543759
"375",112436149,201806,0.0171408123872653
"376",112451752,201806,0.052189715149534
"377",112453853,201806,0.00419372562453798
"378",112458675,201806,NA
"379",112475743,201806,0.0878587720167241
"380",112490986,201806,-0.0123036725214109
"381",112498292,201806,-7.06855369569306
"382",112526244,201807,-2.80082318370255
"383",112527097,201906,0.00145278450363196
"384",112527202,201905,-0.0847436799370835
"385",112528786,201812,0.0484253093652654
"386",112534700,201803,-0.0269217966059694
"387",112538550,201808,0.463761997574839
"388",112573432,201806,0.548882843083399
"389",112578155,201807,0.0395309294126982
"390",112594653,201806,0.129989768924903
"391",112600290,201812,-0.184635406842959
"392",112600290,201712,-0.194547158084177
"393",112603787,201812,0.0266067897424505
"394",112627786,201812,-0.0253352665778155
"395",112647339,201812,-0.330797191585814
"396",112665181,201806,0.00201325471822612
"397",112683663,201806,0.0282105310602049
"398",112689903,201812,-6.37156489780128
"399",112710506,201812,-0.37054558000317
"400",112737223,201812,0.0070395114173912
"401",112783877,201812,0.0769684235204478
"402",112840553,201806,-0.0784085271925015
"403",112848726,201809,-0.206075716879685
"404",112848938,201806,1
"405",112857055,201806,-0.490655435687338
"406",112889068,201812,0.103589644508258
"407",112890302,201812,0.486619190982819
"408",112911043,201812,-0.183015663228127
"409",113039699,201805,-0.454701687313899
"410",113048002,201812,0.436768746867888
"411",113099604,201812,0.0875178158904007
"412",113132562,201812,0.683269762270514
"413",113199716,201812,0.0072580889252096
"414",113204890,201812,0.102982850984246
"415",113211896,201812,NA
"416",113211896,201712,-4.91
"417",113250772,201812,0.28461010759434
"418",113306111,201806,0.000214614109007796
"419",113312539,201812,0.0802936896172699
"420",113317234,201812,-0.580924656114857
"421",113317929,201806,0.00356063066889883
"422",113415840,201812,-0.347500986369017
"423",113422018,201812,0.00987203974874019
"424",113442366,201812,NA
"425",113458791,201806,NA
"426",113462888,201906,0.00203255679596769
"427",113580935,201812,0.13997313468928
"428",113603198,201812,0.0369870123373416
"429",113613094,201812,-1.22800194457948
"430",113633048,201812,-0.466081408102509
"431",113666873,201812,-0.474837794414788
"432",113687996,201809,0.848686779925796
"433",113704014,201906,-0.264024631625247
"434",113754129,201812,0.1575418983066
"435",116083182,201806,-0.000921474042724323
"436",123799161,201906,0.00749764270321422
"437",123799161,201706,0.00184237762649102
"438",131562242,201806,0.201483610000498
"439",131624178,201806,0.0305250581742948
"440",131671035,201806,-0.0294099339612411
"441",131919799,201806,0.0518719362505518
"442",131943516,201806,-0.00493678488189368
"443",132564241,201812,0.0171043723258968
"444",132579051,201807,-0.0179253952886266
"445",132617705,201812,0.0319863767835688
"446",132735378,201812,-0.16863422535969
"447",132736022,201803,-0.0728102811816225
"448",132778910,201812,-0.294540151249304
"449",132802083,201906,-0.148878371070316
"450",132806160,201806,0.115307131789791
"451",132834016,201812,0.0562731021250876
"452",132850133,201806,-0.165770532403661
"453",132851988,201812,0.563600022242208
"454",132868189,201809,1
"455",132875743,201812,-0.0136304183853097
"456",132902798,201806,0.5724242241436
"457",132922191,201812,-0.0043401950548271
"458",132926433,201806,0.259982007706242
"459",132934000,201812,0.101526522794871
"460",132936066,201809,-0.131020917290347
"461",132938457,201806,0.808124694602103
"462",132944013,201804,0.0894247264323385
"463",132950346,201812,-0.0655045791720978
"464",132972415,201806,0.0364605254206817
"465",132976987,201812,0.184037025412625
"466",133008492,201906,-0.222222222222222
"467",133010578,201812,0.312704501416054
"468",133020589,201806,0.197152872701618
"469",133022372,201812,0.0670659337884361
"470",133023179,201812,0.0127357561932245
"471",133023183,201806,-0.552886350608267
"472",133026182,201812,0.463371672034993
"473",133028376,201812,-0.0598846181239762
"474",133032463,201812,0.00491598685011567
"475",133076810,201812,0.119989907060852
"476",133097905,201806,0.122117278882573
"477",133098397,201812,-0.0184398332768234
"478",133108035,201812,-0.00732641847318664
"479",133110811,201812,-0.02335922464715
"480",133154100,201812,0.489349130160016
"481",133160099,201806,0.0403034509490814
"482",133176586,201806,0.334601778239092
"483",133176952,201806,0.0864501362564684
"484",133183344,201806,-0.0386966525448325
"485",133187792,201812,-0.155575162463974
"486",133202014,201812,0.0713225834279683
"487",133203701,201806,0.0609751798324068
"488",133206603,201812,-0.794273559460995
"489",133212867,201812,-0.0233277739241238
"490",133213525,201803,0.114890524544519
"491",133234441,201806,-0.0336677417812606
"492",133248777,201812,-0.0729356384165033
"493",133257307,201806,-0.0658229598547838
"494",133281487,201806,0.116053143388282
"495",133313856,201812,0.332117476888246
"496",133402057,201706,0.000231757973365661
"497",133402057,201506,0.0566643107954992
"498",133402057,201306,-2.54065869175969
"499",133402057,201206,-0.22609435681099
"500",133402057,201606,0.000658095016385223
"501",133420753,201806,-0.00468214888641931
"502",133421324,201812,0.0445104746899124
"503",133439109,201807,0.594014339504314
"504",133439109,201907,-1.21347079369401
"505",133463392,201806,NA
"506",133505123,201812,0.13219652514095
"507",133514340,201812,0.235319578704372
"508",133516262,201806,0.0889926908054273
"509",133518596,201812,0.995495565281382
"510",133544227,201906,0.00690508171756002
"511",133556135,201812,-0.382347223812554
"512",133570544,201812,0.205669981706218
"513",133582492,201812,0.940413609130029
"514",133584089,201806,-0.0707838392329729
"515",133591350,201812,0.021251723849227
"516",133620671,201812,0.0499377083360845
"517",133627750,201812,0.00196977266138048
"518",133635059,201806,-0.00533863900357673
"519",133636555,201806,0.000364533107239547
"520",133652630,201806,-0.353965144486962
"521",133687891,201806,-0.0206305109542515
"522",133687895,201806,0.343942797921695
"523",133706959,201812,0.200958371313503
"524",133735311,201812,-4.31568277681098
"525",133773591,201812,-0.174430198119976
"526",133778489,201806,0.12348934318718
"527",133784406,201812,-0.265772410891265
"528",133846708,201812,0.940777778593133
"529",133860487,201812,-0.71704454422963
"530",133914167,201812,1
"531",133927797,201812,NA
"532",133940622,201812,0.02258306654272
"533",133946529,201812,0.0313382814164257
"534",133970573,201812,NA
"535",133996271,201806,-1.94765784114053
"536",133997769,201812,0.00965779372968333
"537",134011201,201812,0.023210241200201
"538",134031037,201812,0.0702710036632982
"539",134087428,201812,0.64292497625831
"540",134103352,201812,-0.0831663615161436
"541",134138205,201812,-0.00701498869250632
"542",134169825,201806,0.280008971291866
"543",134196931,201812,-0.14915103397952
"544",134221502,201809,-0.269745504861519
"545",134233543,201812,1.76907368077112
"546",134236650,201906,-0.26754199706212
"547",134284680,201812,-0.289855016573116
"548",135562202,201806,-0.31408100397534
"549",136202692,201806,0.071074661529123
"550",136222626,201806,-0.439561403229047
"551",136265613,201812,-0.0921190780449017
"552",136271908,201806,-0.388538167665205
"553",141491879,201811,0.0254001932755945
"554",141492922,201812,0.0316635330581673
"555",141493667,201802,0.0572680108603669
"556",141503655,201804,0.0708063110196239
"557",141503655,201904,0.151838889854218
"558",141504550,201906,-0.0558042744979011
"559",141548263,201806,-0.118130551309063
"560",141558673,201812,NA
"561",141589002,201812,-8.45744680851064
"562",141601549,201812,0.067860774667263
"563",141604145,201805,0.0302346664443657
"564",141605957,201812,-0.753920516315278
"565",141611857,201812,0.0258726955724567
"566",141615406,201812,-0.0632643828677705
"567",141626314,201803,-0.00824184812700714
"568",141627038,201810,0.00387653544608944
"569",141628657,201806,-0.166666666666667
"570",141629449,201806,0.0229369356397968
"571",141633606,201901,0.0216544281238777
"572",141645491,201812,0.0902100730224567
"573",141645494,201812,0.123921754111292
"574",141664058,201901,-0.490024034425357
"575",141664264,201806,0.151377873684855
"576",141666190,201906,0.0589997811705691
"577",141705132,201812,-0.0836484898825253
"578",141708404,201906,-0.093958033105311
"579",141715960,201812,-0.292844211367326
"580",141724406,201812,-0.149724329891763
"581",141724900,201904,-0.0556325347264483
"582",141758441,201906,0.0148838806495243
"583",141758686,201806,-0.00558200298894486
"584",141758686,201906,-0.0534388260254597
"585",141770461,201812,0.0294110908232109
"586",141815690,201806,-0.148005569468757
"587",141819599,201806,-0.0608349610687722
"588",141828476,201812,0.183899684461987
"589",141855665,201812,0.0472505396081339
"590",141869951,201806,0.0432983502791975
"591",141884382,201812,0.375816391645289
"592",141891112,201812,0
"593",141891112,201712,0
"594",141959607,201812,-0.890024704721832
"595",141959607,201712,-0.281332675664768
"596",141973678,201812,0.465901308903906
"597",141977260,201812,-0.17317422819876
"598",141983932,201806,-0.0861277797387928
"599",141987692,201809,-0.20150574762883
"600",141990608,201812,-0.65806682333708
"601",160743940,201903,0.00121004432658685
"602",160863402,201803,0.0767362509348214
"603",160902835,201809,0.00150245580857627
"604",160903802,201812,0.00941493629475862
"605",160905222,201810,0.0121006060316737
"606",160907793,201812,0.0441151552033024
"607",160909190,201812,-0.00904174907228928
"608",160909583,201812,0.00719463283859392
"609",160911473,201802,-0.00439199477212621
"610",160950820,201906,0.101635173588097
"611",160963924,201806,0.616933219974655
"612",160984913,201809,0.0407188796545628
"613",160999976,201904,0.0561872333913576
"614",161002392,201809,0.0190481842924124
"615",161004653,201812,0.0638549077209227
"616",161006727,201812,-0.164980046222454
"617",161063363,201812,0.215355050424855
"618",161065303,201808,-1.89878495095886
"619",161067572,201712,0.0673900995119912
"620",161067572,201812,-0.215231094446619
"621",161072548,201812,-0.00498483018666828
"622",161079046,201812,-0.0079682033764865
"623",161080227,201812,0.0386285078635429
"624",161086304,201812,-0.19672770038394
"625",161092291,201808,0.607419144533095
"626",161094813,201809,-0.0985324331023936
"627",161109094,201906,-0.0604624810001428
